N 	 time 
3295 	0.000172 
3305 	0.000198 
3315 	0.000171 
3325 	0.000173 
3335 	0.000174 
3345 	0.000234 
3355 	0.000182 
3365 	0.000175 
3375 	0.000176 
3385 	0.000176 
3395 	0.000177 
3405 	0.000177 
3415 	0.000179 
3425 	0.000254 
3435 	0.000179 
3445 	0.000180 
3455 	0.000181 
3465 	0.000181 
3475 	0.000256 
3485 	0.000182 
3495 	0.000182 
3505 	0.000183 
3515 	0.000204 
3525 	0.000261 
3535 	0.000185 
3545 	0.000185 
3555 	0.000186 
3565 	0.000187 
3575 	0.000260 
3585 	0.000188 
3595 	0.000188 
3605 	0.000188 
3615 	0.000188 
3625 	0.000263 
3635 	0.000189 
3645 	0.000190 
3655 	0.000191 
3665 	0.000191 
3675 	0.000266 
3685 	0.000193 
3695 	0.000193 
3705 	0.000204 
3715 	0.000268 
3725 	0.000194 
3735 	0.000195 
3745 	0.000196 
3755 	0.000195 
3765 	0.000270 
3775 	0.000198 
3785 	0.000198 
3795 	0.000198 
3805 	0.000198 
3815 	0.000275 
3825 	0.000200 
3835 	0.000201 
3845 	0.000201 
3855 	0.000277 
3865 	0.000202 
3875 	0.000203 
3885 	0.000204 
3895 	0.000207 
3905 	0.000278 
3915 	0.000203 
3925 	0.000206 
3935 	0.000205 
3945 	0.000281 
3955 	0.000207 
3965 	0.000207 
3975 	0.000209 
3985 	0.000209 
3995 	0.000283 
4005 	0.000210 
4015 	0.000211 
4025 	0.000211 
4035 	0.000285 
4045 	0.000211 
4055 	0.000212 
4065 	0.000232 
4075 	0.000288 
4085 	0.000213 
4095 	0.000214 
4105 	0.000216 
4115 	0.000215 
4125 	0.000290 
4135 	0.000216 
4145 	0.000217 
4155 	0.000218 
4165 	0.000293 
4175 	0.000218 
4185 	0.000231 
4195 	0.000218 
4205 	0.000294 
4215 	0.000221 
4225 	0.000221 
4235 	0.000229 
4245 	0.000297 
4255 	0.000223 
4265 	0.000224 
4275 	0.000225 
4285 	0.000263 
4295 	0.000261 
4305 	0.000226 
4315 	0.000224 
4325 	0.000265 
4335 	0.000264 
4345 	0.000228 
4355 	0.000229 
4365 	0.000229 
4375 	0.000304 
4385 	0.000232 
4395 	0.000259 
4405 	0.000306 
4415 	0.000232 
4425 	0.000232 
4435 	0.000233 
4445 	0.000307 
4455 	0.000234 
4465 	0.000235 
4475 	0.000235 
4485 	0.000309 
4495 	0.000237 
4505 	0.000237 
4515 	0.000237 
4525 	0.000311 
4535 	0.000239 
4545 	0.000239 
4555 	0.000251 
4565 	0.000314 
4575 	0.000240 
4585 	0.000241 
4595 	0.000241 
4605 	0.000317 
4615 	0.000242 
4625 	0.000243 
4635 	0.000243 
4645 	0.000318 
4655 	0.000244 
4665 	0.000245 
4675 	0.000283 
4685 	0.000283 
4695 	0.000247 
4705 	0.000253 
4715 	0.000323 
4725 	0.000249 
4735 	0.000249 
4745 	0.000249 
4755 	0.000323 
4765 	0.000251 
4775 	0.000251 
4785 	0.000291 
4795 	0.000288 
4805 	0.000251 
4815 	0.000253 
4825 	0.000329 
4835 	0.000254 
4845 	0.000255 
4855 	0.000263 
4865 	0.000331 
4875 	0.000256 
4885 	0.000257 
4895 	0.000331 
4905 	0.000257 
4915 	0.000258 
4925 	0.000259 
4935 	0.000333 
4945 	0.000260 
4955 	0.000260 
4965 	0.000260 
4975 	0.000335 
4985 	0.000261 
4995 	0.000273 
5005 	0.000331 
5015 	0.000256 
5025 	0.000414 
5035 	0.000330 
5045 	0.000375 
5055 	0.000258 
5065 	0.000338 
5075 	0.000269 
5085 	0.000274 
5095 	0.000270 
5105 	0.000344 
5115 	0.000270 
5125 	0.000291 
5135 	0.000348 
5145 	0.000272 
5155 	0.000272 
5165 	0.000349 
5175 	0.000275 
5185 	0.000274 
5195 	0.000347 
5205 	0.000284 
5215 	0.000273 
5225 	0.000275 
5235 	0.000348 
5245 	0.000277 
5255 	0.000281 
5265 	0.000354 
5275 	0.000278 
5285 	0.000276 
5295 	0.000280 
5305 	0.000354 
5315 	0.000280 
5325 	0.000280 
5335 	0.000355 
5345 	0.000280 
5355 	0.000282 
5365 	0.000355 
5375 	0.000285 
5385 	0.000302 
5395 	0.000357 
5405 	0.000284 
5415 	0.000284 
5425 	0.000286 
5435 	0.000360 
5445 	0.000287 
5455 	0.000287 
5465 	0.000364 
5475 	0.000288 
5485 	0.000289 
5495 	0.000365 
5505 	0.000291 
5515 	0.000295 
5525 	0.000365 
5535 	0.000291 
5545 	0.000291 
5555 	0.000367 
5565 	0.000292 
5575 	0.000293 
5585 	0.000368 
5595 	0.000294 
5605 	0.000295 
5615 	0.000296 
5625 	0.000370 
5635 	0.000297 
5645 	0.000306 
5655 	0.000373 
5665 	0.000298 
5675 	0.000298 
5685 	0.000373 
5695 	0.000300 
5705 	0.000300 
5715 	0.000378 
5725 	0.000301 
5735 	0.000302 
5745 	0.000377 
5755 	0.000304 
5765 	0.000308 
5775 	0.000379 
5785 	0.000304 
5795 	0.000305 
5805 	0.000379 
5815 	0.000306 
5825 	0.000306 
5835 	0.000380 
5845 	0.000308 
5855 	0.000308 
5865 	0.000382 
5875 	0.000309 
5885 	0.000320 
5895 	0.000384 
5905 	0.000310 
5915 	0.000311 
5925 	0.000384 
5935 	0.000312 
5945 	0.000311 
5955 	0.000386 
5965 	0.000313 
5975 	0.000313 
5985 	0.000389 
5995 	0.000315 
